id,targets,category,name,affected_scope,upstream_fix,status,source,notes
SV-CUR-TIME-018,Scarlet|Violet,time-event,Outbreak/Tera Raid crystals can reset prematurely,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-MOVE-019,Scarlet|Violet,movement,Dual-controller running speed glitch,handheld + second controller,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-MAP-020,Scarlet|Violet,ui-map,Town Map location stale after credits,postgame,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-COLL-021,Scarlet|Violet,collision,Tera Raid crystal collision clipping,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-MODEL-022,Scarlet|Violet,model,Titan evolution duplicate model glitch,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-TEX-023,Scarlet|Violet,texture-lod,Espathra distant hair texture incorrect,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-TEX-024,Scarlet|Violet,texture,Glaseado Gym Test ride Pokémon texture quirk,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-SPAWN-025,Scarlet|Violet,spawn-model,Disguised overworld Pokémon lose disguise after reload,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-NPC-026,Scarlet|Violet,npc-ui,Porto Marinada form-item seller can reappear without dialogue,HOME-linked,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-TEX-027,Scarlet|Violet,texture,Texture overlay corruption on Pokémon models,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-028,Scarlet|Violet,ui,Alcremie target icon ignores actual form,DLC2 double battles,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-029,Scarlet|Violet,ui-hp,Raid/Titan health bar synchronization/order quirks,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-030,Scarlet|Violet,ui-sprite,Kofu Wallet briefly displays Water TM sprite,story,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-031,Scarlet|Violet,ui-map,Mass outbreak can show wrong form icon,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-032,Scarlet|Violet,ui-map,Minimap Pokémon icons persist out of bounds after long session,long session,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-033,Scarlet|Violet,raid-ui,Revival timer can continue into negative values after HOME suspension,raid + HOME menu,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-034,Scarlet|Violet,ui-hp,Exactly 300 HP result animates health bar abnormally slowly,battle,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-035,Scarlet|Violet,ui-battle,Tera Blast type/effectiveness display can inherit teammate Terastallization context,battle,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-036,Scarlet|Violet,ui,TM list cursor can land on blank slot after consuming last TM,all documented versions,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-CRASH-037,Scarlet|Violet,crash-ui,Viewing summary of typeless Pokémon can crash game,battle-derived edge case,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-CUR-UI-038,Scarlet|Violet,ui-box,Held item display remains stale until cursor refresh,Boxes,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead only; reproduce against exact local build before patching.
SV-HIST-301,Scarlet|Violet,input,Inkay candy level-up input lock,<=3.0.0,3.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-302,Scarlet,crafting,TM223 required Shieldon Claws in Scarlet,<=3.0.0,3.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-303,Scarlet|Violet,collision,Player stuck between Item Printer and wall,<=3.0.0,3.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-304,Scarlet|Violet,battle,Dragon Cheer critical-rate effect persisted after switch,<=3.0.0,3.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-305,Scarlet|Violet,moveset,Calyrex retained/relearned fused-form-only TM moves,<=3.0.0,3.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-3001A,Scarlet|Violet,ability,Hospitality unintended behavior,<=2.0.2,3.0.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-3001B,Scarlet|Violet,ability,Protosynthesis/Quark Drive activated under Neutralizing Gas,<=2.0.2,3.0.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-202A,Scarlet|Violet,trainer-progress,NPC trainer victories could fail to record and block rewards,<=2.0.1,2.0.2,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-202B,Scarlet|Violet,HOME,Certain GO-origin special Pokémon could not transfer through HOME despite prerequisite species ownership,<=2.0.1,2.0.2,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-201A,Scarlet|Violet,text,Ceaseless Edge/Dire Claw/Stone Axe descriptions incorrectly implied higher critical-hit ratio,<=2.0.0,2.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-201B,Scarlet|Violet,mark,Itemfinder Mark grant logic missing,<=2.0.0,2.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-201C,Scarlet|Violet,spawn,Defeated Titan Mark wild Pokémon failed intended respawn behavior,<=2.0.0,2.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-131A,Scarlet|Violet,online-tournament,Private official tournament invited-user behavior error,<=1.3.0,1.3.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130A,Scarlet|Violet,event-save,Walking Wake/Iron Leaves bad Egg/capture-flag issue,1.1.0 event data,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130B,Scarlet|Violet,link-battle,Late Swap selection could fail and corrupt switch/battle state,<=1.2.0,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130C,Scarlet|Violet,link-battle-ui,Remaining battle time below one minute not displayed,<=1.2.0,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130D,Scarlet|Violet,link-battle,Faint timing could reduce next-Pokémon selection time,<=1.2.0,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130E,Scarlet|Violet,ability,Cud Chew retriggered every two turns after first trigger,<=1.2.0,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130F,Scarlet|Violet,battle-ui,Terastallized Illusion Zoroark displayed disguised Pokémon original type,<=1.2.0,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130G,Scarlet|Violet,battle-ui,Illusion Zoroark displayed disguised target Tera Type,<=1.2.0,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130H,Scarlet|Violet,battle,Spread self-stat-change move could apply stat change twice with Substitute interaction,<=1.2.0,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130I,Scarlet|Violet,crash-network,Pokémon GO pairing screen prone to crash,<=1.2.0,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-130J,Scarlet|Violet,pokedex,Mystery Gift Hisuian Zoroark could incorrectly register normal Zoroark,<=1.2.0,1.3.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120A,Scarlet|Violet,raid-ui,Tera Raid HP gauge visually misrepresented certain damage/status combinations,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120B,Scarlet|Violet,raid,All allied Pokémon could faint despite positive displayed HP in black crystal raids,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120C,Scarlet|Violet,raid-input,Tera Pokémon action could temporarily block player input during target selection,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120D,Scarlet|Violet,raid-network,Joining player could see different raid Pokémon than host,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120E,Scarlet|Violet,raid-network,Raid search could route player to a different Pokémon than displayed,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120F,Scarlet|Violet,raid-spawn,Tera Raid crystals could stop appearing temporarily,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120G,Scarlet|Violet,battle-ui,Fainted Pokémon still contributed type matchup display in Double Battle targeting,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120H,Scarlet|Violet,battle-ui,Check Target could reveal Terastallized Illusion Zoroark,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120I,Scarlet|Violet,battle-ui,Move matchup display against Terastallized Illusion Zoroark used disguise type,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120J,Scarlet|Violet,battle,Order Up granted Commander stat boost even when move was negated,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120K,Scarlet|Violet,battle,Destiny Bond failed after next-turn Terastallization,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120L,Scarlet|Violet,stability,Game prone to forcibly close at certain locations,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120M,Scarlet|Violet,pokedex,Non-Paldea species could appear registered after Link Trade,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120N,Scarlet|Violet,animation,Player facial expression state could freeze until restart,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120O,Scarlet|Violet,ranked,Season 1 reward-screen error could block future Ranked Battles,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120P,Scarlet|Violet,ranked,Master Rank Ribbon could fail with multiple Battle Teams,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120Q,Scarlet|Violet,obedience,Traded-back Pokémon could disobey contrary to profile threshold rule,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120R,Scarlet|Violet,pokedex,Surprise Trade shiny/foreign-language data could fail to add new Pokédex info,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-120S,Scarlet|Violet,model,Poké Ball/other objects displayed unintentionally in some areas,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-110A,Scarlet|Violet,audio,Elite Four/Top Champion music intro looped instead of full track,<=1.0.1,1.1.0,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-101A,Scarlet|Violet,raid-visual,Other players' shiny sparkle not displayed in multiplayer raid,1.0.0,1.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-101B,Scarlet|Violet,battle-data,Sylveon shared Arceus/Silvally type-change-prevention flag,1.0.0,1.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,Verify historical affected build and reconstructed/latest target behavior.
SV-HIST-C-001,Scarlet|Violet,battle,Online battle reused deterministic RNG seed,<=1.0.1,1.1.0,UPSTREAM_FIXED_VERIFY,Bulbapedia Generation IX glitch list,Community-documented historical fix; verify with binary/version diff.
SV-HIST-C-002,Scarlet|Violet,visual,Sleeping Pokémon eyes remained open,<=1.0.1,1.1.0,UPSTREAM_FIXED_VERIFY,Bulbapedia Generation IX glitch list,Community-documented historical fix; verify with binary/version diff.
SV-HIST-C-003,Scarlet|Violet,ui,Ribbon/Mark menu display/equip inconsistency,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Bulbapedia Generation IX glitch list,Community-documented historical fix; verify with binary/version diff.
SV-HIST-C-004,Scarlet|Violet,ui,TM014 thumbnail contained debug-menu remnants,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Bulbapedia Generation IX glitch list,Community-documented historical fix; verify with binary/version diff.
SV-HIST-C-005,Scarlet|Violet,capture,Transformed Ditto alternate-form catch rate became zero,<=1.1.0,1.2.0,UPSTREAM_FIXED_VERIFY,Bulbapedia Generation IX glitch list,Community-documented historical fix; verify with binary/version diff.
SV-HIST-C-006,Scarlet|Violet,model,Persistent loaded model remained in scenes after long session,<=1.1.0,1.2.0 partial,UPSTREAM_FIXED_VERIFY,Bulbapedia Generation IX glitch list,Community-documented historical fix; verify with binary/version diff.
SV-HIST-C-007,Scarlet|Violet,crash,Paradise Protection Protocol party hover could crash with Koraidon/Miraidon already registered,<=2.0.1,2.0.2,UPSTREAM_FIXED_VERIFY,Bulbapedia Generation IX glitch list,Community-documented historical fix; verify with binary/version diff.
SV-HIST-C-008,Scarlet|Violet,raid-network,Joined players could be missing from host raid display,<=2.0.0,2.0.1,UPSTREAM_FIXED_VERIFY,Bulbapedia Generation IX glitch list,Community-documented historical fix; verify with binary/version diff.
SV-HIST-C-009,Scarlet|Violet,exploit,Wild Smeargle Transform cloning exploit,3.0.0,3.0.1,UPSTREAM_FIXED_VERIFY,Bulbapedia Generation IX glitch list,Community-documented historical fix; verify with binary/version diff.
SV-EVENT-001,Scarlet|Violet,event-data,May 19 2023 Great Tusk/Iron Treads invalid TM-material reward caused None/crash,Poké Portal News 2023-05-19,,HISTORICAL_EVENT_VERIFY,Bulbapedia event/glitch documentation,Event server data is historical evidence; preserve bad payload metadata but do not reactivate defect.
SV-EVENT-002,Violet,event-data,May 19 2023 random-Tera Iron Treads incorrectly shiny-locked,Poké Portal News 2023-05-19,,HISTORICAL_EVENT_VERIFY,Bulbapedia event/glitch documentation,Event server data is historical evidence; preserve bad payload metadata but do not reactivate defect.
SV-EVENT-003,Scarlet,event-data,June 21 2023 Gimmighoul event null reward pool displayed 0 Tera Shards and blocked cross-version joins,Poké Portal News 2023-06-21,,HISTORICAL_EVENT_VERIFY,Bulbapedia event/glitch documentation,Event server data is historical evidence; preserve bad payload metadata but do not reactivate defect.
SV-OPAQUE-101,Scarlet|Violet,unknown-upstream,Unnamed official bug fixes bundled in v1.0.1,prior to 1.0.1,1.0.1,DIFF_REQUIRED,Nintendo official update history,Official notes state additional/select/various fixes without enumeration; binary/data differential analysis required.
SV-OPAQUE-110,Scarlet|Violet,unknown-upstream,Unnamed official bug fixes bundled in v1.1.0,prior to 1.1.0,1.1.0,DIFF_REQUIRED,Nintendo official update history,Official notes state additional/select/various fixes without enumeration; binary/data differential analysis required.
SV-OPAQUE-120,Scarlet|Violet,unknown-upstream,Unnamed official bug fixes bundled in v1.2.0,prior to 1.2.0,1.2.0,DIFF_REQUIRED,Nintendo official update history,Official notes state additional/select/various fixes without enumeration; binary/data differential analysis required.
SV-OPAQUE-130,Scarlet|Violet,unknown-upstream,Unnamed official bug fixes bundled in v1.3.0,prior to 1.3.0,1.3.0,DIFF_REQUIRED,Nintendo official update history,Official notes state additional/select/various fixes without enumeration; binary/data differential analysis required.
SV-OPAQUE-201,Scarlet|Violet,unknown-upstream,Unnamed official bug fixes bundled in v2.0.1,prior to 2.0.1,2.0.1,DIFF_REQUIRED,Nintendo official update history,Official notes state additional/select/various fixes without enumeration; binary/data differential analysis required.
SV-OPAQUE-202,Scarlet|Violet,unknown-upstream,Unnamed official bug fixes bundled in v2.0.2,prior to 2.0.2,2.0.2,DIFF_REQUIRED,Nintendo official update history,Official notes state additional/select/various fixes without enumeration; binary/data differential analysis required.
SV-OPAQUE-300,Scarlet|Violet,unknown-upstream,Unnamed official bug fixes bundled in v3.0.0,prior to 3.0.0,3.0.0,DIFF_REQUIRED,Nintendo official update history,Official notes state additional/select/various fixes without enumeration; binary/data differential analysis required.
SV-OPAQUE-301,Scarlet|Violet,unknown-upstream,Unnamed official bug fixes bundled in v3.0.1,prior to 3.0.1,3.0.1,DIFF_REQUIRED,Nintendo official update history,Official notes state additional/select/various fixes without enumeration; binary/data differential analysis required.
ZA-CUR-001,Z-A,overworld,Wild Zone Escape glitch lets intangible-state wild Pokémon leave zone and relocate,2.0.2,,REPRODUCTION_NEEDED_ON_LATEST,Bulbapedia Generation IX glitch list,Public lead; reproduce on Switch and Switch 2 Edition as applicable.
ZA-HIST-102A,Z-A,storage-capture,Full Boxes before first Rogue Mega battle could make all catches fail and mission rewards vanish,<=1.0.1,1.0.2,UPSTREAM_FIXED_VERIFY,Nintendo official update history,
ZA-HIST-102B,Z-A,mission,Day/night switch at exact move-hit moment could make side mission target unhittable,<=1.0.1,1.0.2,UPSTREAM_FIXED_VERIFY,Nintendo official update history,
ZA-HIST-102C,Z-A,trainer-battle,Opponent switch simultaneous with player Mega Evolution could leave battle unplayable,<=1.0.1,1.0.2,UPSTREAM_FIXED_VERIFY,Nintendo official update history,
ZA-HIST-103A,Z-A,ranked-reward,Season 2 Mega Stone reward could not be claimed at required rank,<=1.0.2,1.0.3,UPSTREAM_FIXED_VERIFY,Nintendo official update history,
ZA-HIST-201A,Z-A,dlc-targeting,Moves in certain hyperspace pockets could face wrong direction from intended target,2.0.0,2.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,
ZA-HIST-201B,Z-A,weather,Weather could remain sunny and fail to change,2.0.0,2.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,
ZA-HIST-201C,Z-A,pokedex,Pre-DLC shiny Pokémon could fail Mega Evolution Pokédex registration after Mega Stone acquisition,2.0.0,2.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,
ZA-HIST-201D,Z-A,mission-visual,Unrelated scene images could appear during missions,2.0.0,2.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,
ZA-HIST-201E,Z-A,mission-progress,Side Mission 188 could remain incomplete after maximum survey points,2.0.0,2.0.1,UPSTREAM_FIXED_VERIFY,Nintendo official update history,
ZA-OPAQUE-102,Z-A,unknown-upstream,Other minor issues fixed in v1.0.2,<=1.0.1,1.0.2,DIFF_REQUIRED,Nintendo official update history,Binary/data differential analysis required.
ZA-OPAQUE-200,Z-A,unknown-upstream,Several issues fixed in v2.0.0,<=1.0.3,2.0.0,DIFF_REQUIRED,Nintendo official update history,Binary/data differential analysis required.
ZA-OPAQUE-202,Z-A,unknown-upstream,Several issues fixed in v2.0.2,<=2.0.1,2.0.2,DIFF_REQUIRED,Nintendo official update history,Binary/data differential analysis required.
